left_input,right_input,time,delta_time
0,0,1304304702.657866,0.040270
0.000000,0.000000,1304304702.698124,0.040258
0.000000,0.000000,1304304702.738384,0.040260
0.000000,0.000000,1304304702.768687,0.030302
0.000000,0.000000,1304304702.819129,0.050442
0.000000,0.000000,1304304702.859493,0.040365
0.000000,0.000000,1304304702.899881,0.040388
0.000000,0.000000,1304304702.930124,0.030242
0.000000,0.000000,1304304702.980484,0.050360
0.000000,0.000000,1304304703.020825,0.040342
0.000000,0.000000,1304304703.061269,0.040443
0.000000,0.000000,1304304703.091516,0.030247
0.000000,0.000000,1304304703.142083,0.050568
0.000000,0.000000,1304304703.182281,0.040197
0.000000,0.000000,1304304703.222697,0.040416
0.000000,0.000000,1304304703.263166,0.040470
0.000000,0.000000,1304304703.303643,0.040476
0.000000,0.000000,1304304703.344034,0.040392
0.000000,0.000000,1304304703.374264,0.030229
0.000000,0.000000,1304304703.414666,0.040403
0.000000,0.000000,1304304703.455055,0.040388
0.000000,0.000000,1304304703.495420,0.040365
0.000000,0.000000,1304304703.535830,0.040410
0.000000,0.000000,1304304703.576210,0.040381
0.000000,0.000000,1304304703.616734,0.040523
0.000000,0.000000,1304304703.657100,0.040367
0.000000,0.000000,1304304703.697420,0.040320
0.000000,0.000000,1304304703.727653,0.030232
0.000000,0.000000,1304304703.778169,0.050517
0.000000,0.000000,1304304703.818617,0.040448
0.000000,0.000000,1304304703.848904,0.030287
0.000000,0.000000,1304304703.889298,0.040394
0.000000,0.000000,1304304703.939515,0.050217
0.000000,0.000000,1304304703.969781,0.030266
0.000000,0.000000,1304304704.020259,0.050478
0.000000,0.000000,1304304704.050530,0.030271
0.000000,0.000000,1304304704.090750,0.040219
0.000000,0.000000,1304304704.141136,0.050387
0.000000,0.000000,1304304704.171252,0.030115
0.000000,0.000000,1304304704.221675,0.050424
0.000000,0.000000,1304304704.251911,0.030236
0.000000,0.000000,1304304704.302386,0.050474
0.000000,0.000000,1304304704.342810,0.040425
0.000000,0.000000,1304304704.373101,0.030291
0.000000,0.000000,1304304704.423498,0.050397
0.000000,0.000000,1304304704.453771,0.030273
0.000000,0.000000,1304304704.494071,0.040299
0.000000,0.000000,1304304704.544695,0.050625
0.000000,0.000000,1304304704.574996,0.030301
0.000000,0.000000,1304304704.615393,0.040397
0.000000,0.000000,1304304704.655689,0.040296
0.000000,0.000000,1304304704.695993,0.040304
0.000000,0.000000,1304304704.736421,0.040428
0.000000,0.000000,1304304704.776857,0.040436
0.000000,0.000000,1304304704.817175,0.040318
0.000000,0.000000,1304304704.857491,0.040315
0.000000,0.000000,1304304704.897802,0.040312
0.000000,0.000000,1304304704.938264,0.040462
0.000000,0.000000,1304304704.978662,0.040398
0.000000,0.000000,1304304705.018992,0.040330
0.000000,0.000000,1304304705.059382,0.040390
0.000000,0.000000,1304304705.099644,0.040262
0.000000,0.000000,1304304705.129897,0.030253
0.000000,0.000000,1304304705.180238,0.050340
0.000000,0.000000,1304304705.210474,0.030237
0.000000,0.000000,1304304705.250746,0.040271
0.000000,0.000000,1304304705.291093,0.040348
0.000000,0.000000,1304304705.341526,0.050432
0.000000,0.000000,1304304705.371760,0.030235
0.000000,0.000000,1304304705.422338,0.050577
0.000000,0.000000,1304304705.452559,0.030221
0.000000,0.000000,1304304705.503129,0.050570
0.000000,0.000000,1304304705.543423,0.040295
0.000000,0.000000,1304304705.583801,0.040377
0.000000,0.000000,1304304705.614058,0.030258
0.000000,0.000000,1304304705.654450,0.040392
0.000000,0.000000,1304304705.694803,0.040352
0.000000,0.000000,1304304705.735200,0.040398
0.000000,0.000000,1304304705.775579,0.040379
0.000000,0.000000,1304304705.815878,0.040299
0.000000,0.000000,1304304705.856365,0.040487
0.000000,0.000000,1304304705.886669,0.030304
0.000000,0.000000,1304304705.937238,0.050569
0.000000,0.000000,1304304705.977761,0.040522
0.000000,0.000000,1304304706.018126,0.040366
0.000000,0.000000,1304304706.048348,0.030222
0.000000,0.000000,1304304706.098983,0.050634
0.000000,0.000000,1304304706.129205,0.030223
0.000000,0.000000,1304304706.169420,0.040215
0.000000,0.000000,1304304706.209744,0.040324
0.000000,0.000000,1304304706.260653,0.050908
0.000000,0.000000,1304304706.290947,0.030295
0.000000,0.000000,1304304706.331226,0.040279
0.000000,0.000000,1304304706.381625,0.050399
0.000000,0.000000,1304304706.421955,0.040330
0.000000,0.000000,1304304706.452183,0.030228
0.000000,0.000000,1304304706.492574,0.040391
0.000000,0.000000,1304304706.533051,0.040476
0.000000,0.000000,1304304706.573487,0.040436
0.000000,0.000000,1304304706.613889,0.040403
0.000000,0.000000,1304304706.654310,0.040421
0.000000,0.000000,1304304706.694618,0.040308
0.000000,0.000000,1304304706.734974,0.040356
0.000000,0.000000,1304304706.775360,0.040386
0.000000,0.000000,1304304706.825918,0.050558
0.000000,0.000000,1304304706.856201,0.030283
0.000000,0.000000,1304304706.896596,0.040395
0.000000,0.000000,1304304706.936760,0.040164
0.000000,0.000000,1304304706.977104,0.040344
0.000000,0.000000,1304304707.017627,0.040522
0.000000,0.000000,1304304707.047853,0.030226
0.000000,0.000000,1304304707.098300,0.050447
0.000000,0.000000,1304304707.138641,0.040342
0.000000,0.000000,1304304707.178918,0.040277
0.000000,0.000000,1304304707.209106,0.030188
0.000000,0.000000,1304304707.259531,0.050425
0.000000,0.000000,1304304707.289733,0.030202
0.000000,0.000000,1304304707.340165,0.050432
0.000000,0.000000,1304304707.380548,0.040382
0.000000,0.000000,1304304707.420811,0.040264
0.000000,0.000000,1304304707.461233,0.040422
0.000000,0.000000,1304304707.491536,0.030303
0.000000,0.000000,1304304707.531999,0.040463
0.000000,0.000000,1304304707.582383,0.050384
0.000000,0.000000,1304304707.612666,0.030283
0.000000,0.000000,1304304707.652990,0.040324
0.000000,0.000000,1304304707.703351,0.050361
0.000000,0.000000,1304304707.733578,0.030227
0.000000,0.000000,1304304707.773975,0.040397
0.000000,0.000000,1304304707.814332,0.040356
0.000000,0.000000,1304304707.854656,0.040324
